,Название,Гибридность,Спелость,"Срок созревания, дн",Детерминантность,Высота,Масса плода
249,Томат Сердце бизона,False,Среднеспелый,110-115,Детерминантный,до 150 см,От 150 до 250 г
250,Томат Жозефина,True,Раннеспелый,,Индетерминантный,180-200 см,Более 250 г
251,Томат Сто пудов,False,Среднеспелый,110-115,Индетерминантный,170-200 см,От 150 до 250 г
252,Томат Большая медведица,False,Раннеспелый,,Индетерминантный,,Более 250 г
253,Томат Черная маркиза,False,Среднеспелый,110-115,Детерминантный,,От 100 до 150 г
254,Томат Джина ТСТ,False,Среднеспелый,110-115,Детерминантный,50-60 см,От 150 до 250 г
255,Томат Чудо на окошке,False,Раннеспелый,90,Супердетерминантный,20-35 см,
256,Томат Красные бусы,False,Раннеспелый,100-105,Индетерминантный,150-170 см,
257,Томат Медовая капель,False,Среднеспелый,110-115,Индетерминантный,более 200 см,От 25 до 50 г
258,Томат Черрипашки,False,Раннеспелый,108-115,Индетерминантный,,
259,Томат Люкс-14,True,Раннеспелый,,Детерминантный,65-70 см,От 50 до 100 г
260,Томат Супер Марио,False,Среднеспелый,100-112,Индетерминантный,,От 150 до 250 г
261,Томат Званный ужин,False,Среднеспелый,110-115,Индетерминантный,180-210 см,От 100 до 150 г
262,Томат Золотой принц,False,Раннеспелый,105-110,Индетерминантный,,От 150 до 250 г
263,Томат Праздник живота,False,Раннеспелый,105-110,Детерминантный,55-65 см,От 100 до 150 г
264,Томат Счастливый тигр,False,Среднеспелый,112-115,Индетерминантный,170-200 см,От 25 до 50 г
265,Томат Лотарингская красавица красная,False,Среднеспелый,110-120,Индетерминантный,180-200 см,От 150 до 250 г
266,Томат Суперэкзотик,False,Среднеспелый,105-115,Индетерминантный,До 180 см,От 50 до 100 г
267,Томат Грушка полосатая,False,Раннеспелый,105-115,Детерминантный,До 80 см,От 50 до 100 г
268,Томат Тунгуска,False,Раннеспелый,105-115,Детерминантный,15-55 см,От 100 до 150 г
269,Томат Якут,False,Ультраскороспелый,80-85,Детерминантный,45-55 см,От 100 до 150 г
270,Томат Будапешт,False,Раннеспелый,105-110,Индетерминантный,,От 150 до 250 г
271,Томат Танец огня,True,Ультраскороспелый,85-90,Детерминантный,50-100 см,От 100 до 150 г
272,Томат Малиновый звон,True,Раннеспелый,100-110,Детерминантный,60-80 см,От 100 до 150 г
273,Томат Черри,False,Раннеспелый,95-102,Индетерминантный,более 150 см,
274,Томат Мясистый,True,Раннеспелый,105-110,Детерминантный,55-60 см,От 150 до 250 г
275,Томат Японский краб,False,Среднеспелый,110-115,Индетерминантный,до 200 см,Более 250 г
276,Томат Гулливер,False,Среднеспелый,105-115,Детерминантный,,От 100 до 150 г
277,Томат Вишенка розовая,False,Раннеспелый,105-110,Индетерминантный,около 200 см,
278,Томат Кнопка,False,Раннеспелый,100-105,Детерминантный,,От 25 до 50 г
279,Томат Перцевидный,False,Среднеспелый,110-115,Индетерминантный,около 200 см,От 100 до 150 г
280,Томат Дамский угодник,False,Среднеспелый,,Индетерминантный,,От 50 до 100 г
281,Томат Космонавт Волков,False,Среднеспелый,111-120,Индетерминантный,,Более 250 г
282,Томат Банан оранжевый,False,Среднеспелый,110-115,Индетерминантный,150-180 см,От 50 до 100 г
283,Томат Бычье сердце,False,Среднеспелый,115-120,Детерминантный,до 170 см,От 150 до 250 г
284,Томат Банан красный,False,Раннеспелый,96-105,Детерминантный,70-90 см,От 50 до 100 г
285,Томат Золотая пуля,False,Ультраскороспелый,103-105,Детерминантный,50-60 см,От 50 до 100 г
286,Томат Козырь,False,Среднеспелый,110-115,Детерминантный,,От 100 до 150 г
287,Томат Денежный мешок,False,Раннеспелый,90-100,Индетерминантный,180 см,От 50 до 100 г
288,Томат Чудотворец,False,Среднеспелый,110-115,Индетерминантный,150-160 см,От 150 до 250 г
289,Томат Воловье сердце,False,Среднеспелый,111-116,Индетерминантный,160-180 см,От 150 до 250 г
290,Томат Рубиновое сердце,True,Ультраскороспелый,83-95,Детерминантный,60-80 см,Более 250 г
291,Томат Карелия,False,Позднеспелый,95-100,Детерминантный,100 см,От 150 до 250 г
292,Томат Биг грин,False,Среднеспелый,110-115,Индетерминантный,200 см,От 150 до 250 г
293,Томат Винтаж вайн,False,Среднеспелый,,Детерминантный,100-150 см,От 150 до 250 г
294,Томат Белла роза,False,Раннеспелый,110-115,Индетерминантный,До 180 см,От 150 до 250 г
295,Томат Хоумстэд,False,Позднеспелый,110-115,Индетерминантный,180 см,Более 250 г
296,Томат Вкусный приз,False,Раннеспелый,107-112,Индетерминантный,180 см,Более 250 г
297,Томат Львенок,False,Раннеспелый,95-105,Детерминантный,50-60 см,От 100 до 150 г
298,Томат Королевский подарок,False,Среднеспелый,100-110,Индетерминантный,до 200 см,От 150 до 250 г
299,Томат Антарктида,False,Раннеспелый,105-110,Индетерминантный,170-200 см,От 100 до 150 г
300,Томат Микадо карамельный,False,Ультраскороспелый,105-115,Индетерминантный,,От 150 до 250 г
301,Томат Прима-66,True,Раннеспелый,105-110,Индетерминантный,180-220 см,От 150 до 250 г
302,Томат Розовое сердце,False,Среднеспелый,110-115й,Индетерминантный,180-200 см,От 150 до 250 г
303,Томат Перцовка,False,Раннеспелый,105-110,Детерминантный,,От 50 до 100 г
304,Томат Триумф-21,True,Раннеспелый,105-107,Индетерминантный,200-230 см,От 150 до 250 г
305,Томат Ампельный,False,Ультраскороспелый,85-90,Детерминантный,,
306,Томат Рекорд-8,True,Раннеспелый,90-100,Детерминантный,до 100 см,От 150 до 250 г
307,Томат Класс-150,True,Среднеспелый,100-110,Индетерминантный,,От 150 до 250 г
308,Томат Балтийский берег,False,Среднеспелый,110-115,Детерминантный,,От 50 до 100 г
309,Томат Тоскана,False,Раннеспелый,100-110,Детерминантный,1м,От 50 до 100 г
310,Томат Розовый лимон,False,Раннеспелый,100-105,Индетерминантный,,От 50 до 100 г
311,Томат Грушка розовая,False,Среднеспелый,110-115,Индетерминантный,,От 100 до 150 г
312,Томат Изумрудный город,False,Раннеспелый,110,Детерминантный,,Более 250 г
313,Томат Ваше плодородие,False,Раннеспелый,107-112,Детерминантный,50-60 см,От 100 до 150 г
314,Томат Большой бонус,False,Среднеспелый,100-115,Индетерминантный,,От 100 до 150 г
315,Томат Косички,False,Среднеспелый,110-115,Индетерминантный,190-220 см,
316,Томат Василина,False,Среднеспелый,105-110,Индетерминантный,,От 150 до 250 г
317,Томат Минибанда,True,Среднеспелый,105-110,Индетерминантный,190-220 см,
318,Томат Жареный коктейль,False,Раннеспелый,95-100,Детерминантный,115-130 см,
319,Томат Крошка в ладошку,False,Среднеспелый,95-105,Детерминантный,,
320,Томат Золотой дождь,False,Среднеспелый,110-112,Индетерминантный,200 см,
321,Томат Кинг сайз,False,Среднеспелый,110-115,Детерминантный,150 см,Более 250 г
322,Томат Де Барао золотой,False,Позднеспелый,,Индетерминантный,,От 50 до 100 г
323,Томат Черная сливка,False,Среднеспелый,116-120,Индетерминантный,более 200 см,От 50 до 100 г
324,Томат Брызги шампанского,False,Раннеспелый,110-115,Индетерминантный,200 см,
325,Томат Воевода,False,Раннеспелый,108-112,Индетерминантный,180 см,От 100 до 150 г
326,Томат Башенки,False,Раннеспелый,108-115,Детерминантный,60-80 см,От 100 до 150 г
327,Томат Дальний кордон,False,Раннеспелый,95-100,Детерминантный,50 см,От 50 до 100 г
328,Томат Суперсладкий,False,Среднеспелый,110-112,Индетерминантный,170-190 см,Более 250 г
329,Томат Сибирский тигр розовый,False,Среднеспелый,110-120,Индетерминантный,160-180 см,От 150 до 250 г
330,Томат Сахарный холодок,False,Раннеспелый,100-112,Детерминантный,40-50 см,От 100 до 150 г
331,Томат Розовый пунш,True,Среднеспелый,,Детерминантный,90-120 см,От 150 до 250 г
332,Томат Монгольский карлик,False,Раннеспелый,,Детерминантный,30 см,От 100 до 150 г
333,Томат Ромочка,False,Раннеспелый,110-115,Детерминантный,60-100 см,От 50 до 100 г
334,Томат Медовая роса,False,Среднеспелый,,Индетерминантный,180 см,Более 250 г
335,Томат Солнечная вспышка,False,Среднеспелый,110-115,Индетерминантный,190-210 см,Более 250 г
336,Томат Пикничок,False,Ультраскороспелый,10,Детерминантный,70-80 см,От 50 до 100 г
337,Томат Беркли тай дай грин,False,Среднеспелый,110-120,Индетерминантный,180-20 см,От 150 до 250 г
338,Томат Король гигантов,False,Раннеспелый,105-110,Индетерминантный,170-200 см,Более 250 г
339,Томат Медная река,False,Среднеспелый,110-115,Полудетерминантный,70-150 см,Более 250 г
340,Томат Медовый эль,False,Раннеспелый,115-120,Индетерминантный,200 см,Более 250 г
341,Томат Оранжевая кнопка,False,Ультраскороспелый,85-95,Детерминантный,30 см,
342,Томат Сахарный спрут,False,Раннеспелый,110-115,Детерминантный,150 см,От 150 до 250 г
343,Томат Дамские пальчики,False,Раннеспелый,,Детерминантный,60-100 см,От 50 до 100 г
344,Томат Черная королева,False,Раннеспелый,110-115,Индетерминантный,180 см,От 150 до 250 г
345,Томат Десперадо,False,Среднеспелый,110-113,Детерминантный,65-95 см,От 50 до 100 г
346,Томат Белла,False,Среднеспелый,110-115,Индетерминантный,150-160 см,От 150 до 250 г
347,Томат Гигант Подмосковья,False,Среднеспелый,115-125,Индетерминантный,180-200 см,Более 250 г
348,Томат Бычье сердце компакт,False,Раннеспелый,100-115,Детерминантный,50-55 см,От 150 до 250 г
349,Томат Зеленая сосиска,False,Среднеспелый,107-112,Детерминантный,60-65 см,От 25 до 50 г
350,Томат Свадьба в Малиновке,True,Раннеспелый,105-110,Индетерминантный,200 см,От 100 до 150 г
351,Томат Царская ветка,False,Раннеспелый,105-110,Детерминантный,70-90 см,От 50 до 100 г
352,Томат Снежный барс,False,Раннеспелый,100-105,Детерминантный,45-60 см,От 100 до 150 г
353,Томат Доктор Грин,False,Раннеспелый,110-115,Индетерминантный,более 180 см,
354,Томат Сосулька кремовая,False,Раннеспелый,100-110,Детерминантный,,От 25 до 50 г
355,Томат Делишес,False,Среднеспелый,110-120,Индетерминантный,"1,8-2м",Более 250 г
356,Томат Микадо розовый,False,Среднеспелый,95-112,Индетерминантный,180-220 см,Более 250 г
357,Томат Шайба,False,Среднеспелый,110-115,Индетерминантный,150-170 см,От 150 до 250 г
358,Томат Полосатое сердце,False,Раннеспелый,95-105,Индетерминантный,180-220 см,Более 250 г
359,Томат Купец-молодец,False,Раннеспелый,105-110,Детерминантный,90-110 см,Более 250 г
360,Томат Южный вечер,False,Среднеспелый,107-112,Индетерминантный,,Более 250 г
361,Томат Хочу еще,True,Среднеспелый,110-115,Индетерминантный,160-180 см,От 100 до 150 г
362,Томат Морозко,False,Среднеспелый,95-100,Детерминантный,60 см,От 100 до 150 г
363,Томат Малиновая Генрика,True,Раннеспелый,107-112,Индетерминантный,Более 200 см,От 100 до 150 г
364,Томат Сахарная избушка,False,Среднеспелый,111-115,Индетерминантный,180-200 см,От 150 до 250 г
365,Томат Аленький цветочек,False,Раннеспелый,95-98,Детерминантный,70-80 см,От 50 до 100 г
366,Томат Сладис,False,Раннеспелый,90-95,Детерминантный,80-90 см,От 50 до 100 г
367,Томат Гусарик,False,Раннеспелый,110,Индетерминантный,180-200 см,От 50 до 100 г
368,Томат Крупная сливка,False,Раннеспелый,105-110,Детерминантный,до 60 см,От 50 до 100 г
369,Томат Смуглянка,False,Среднеспелый,110-115,Детерминантный,60-90 см,От 150 до 250 г
370,Томат Флоренция,False,Ультраскороспелый,90-95,,,От 50 до 100 г
371,Томат Комплимент,False,Раннеспелый,,,200 см,От 100 до 150 г
372,Томат Анна-Роза,False,Раннеспелый,(107-112,Индетерминантный,180 см,От 100 до 150 г
373,Томат Семь сестер,False,Ультраскороспелый,90-105,Индетерминантный,200 см,
374,Томат Новогодние свечи,False,Раннеспелый,100-110,Детерминантный,50-100 см,От 100 до 150 г
375,Томат Чероки грин,False,Раннеспелый,112-115,Индетерминантный,170-190 см,Более 250 г
376,Томат Звездный бульвар,False,Среднеспелый,112,Детерминантный,45-55 см,От 150 до 250 г
377,Томат Морошка,False,Ультраскороспелый,90-95,Детерминантный,20-25 см,
378,Томат Летний марафон,False,Ультраскороспелый,100,Индетерминантный,170-190 см,От 50 до 100 г
379,Томат Сердце Алтая,False,Среднеспелый,111-115,Индетерминантный,180-200 см,Более 250 г
380,Томат Ред принц,True,Раннеспелый,90-95,Детерминантный,60-70 см,От 50 до 100 г
381,Томат Фиорентино,False,Среднеспелый,110-115,Индетерминантный,180-200 см,Более 250 г
382,Томат Красные щечки,True,Раннеспелый,60-65,Детерминантный,,От 100 до 150 г
383,Томат Король Сибири,False,Среднеспелый,110-115,Индетерминантный,180 см,Более 250 г
384,Томат Северенок,True,Раннеспелый,85-90,Детерминантный,60-70 см,От 100 до 150 г
385,Томат Джульетта,True,Ультраскороспелый,85-90,Детерминантный,50-70 см,От 150 до 250 г
386,Томат Лимончики,False,Среднеспелый,111-115,Индетерминантный,около 200 см,От 50 до 100 г
387,Томат Грушка черная,False,Среднеспелый,110-115,Индетерминантный,около 200 см,От 50 до 100 г
388,Томат Пуговка,False,Среднеспелый,95,Детерминантный,50 см,
389,Томат Черриводопад,True,Раннеспелый,105-110,Детерминантный,120-140 см,
390,Томат Граф Орлов,True,Раннеспелый,105-110,Индетерминантный,До 200 см,От 150 до 250 г
391,Томат Сеньор помидор,False,Среднеспелый,111-115,Индетерминантный,до 300 см,От 50 до 100 г
392,Томат Оранж,False,Раннеспелый,105-110,Детерминантный,35-40 см,От 50 до 100 г
393,Томат Сладкие сердечки,True,Ультраскороспелый,80-85,Детерминантный,80-100 см,От 25 до 50 г
394,Томат Чудо рынка,True,Раннеспелый,110,Индетерминантный,,От 150 до 250 г
395,Томат Три медведя,True,Среднеспелый,105-108,Детерминантный,60-100 см,От 150 до 250 г
396,Томат Пинк Босс,True,Раннеспелый,95-105,Детерминантный,90-110 см,Более 250 г
397,Томат Соломон,True,Раннеспелый,95-100,Детерминантный,70-80 см,От 100 до 150 г
398,Томат Розелла,False,Раннеспелый,107-110,Индетерминантный,190-210 см,
399,Томат Русская коса красная,True,Ультраскороспелый,95-105,Индетерминантный,180-200 см,
400,Томат Сахарный бизон,False,Среднеспелый,110,Индетерминантный,До 200 см,Более 250 г
401,Томат Неразлучные сердца,True,Ультраскороспелый,90-95,Индетерминантный,180-200 см,От 150 до 250 г
402,Томат Пожарский,True,Ультраскороспелый,85-90,Детерминантный,70-80 см,От 100 до 150 г
403,Томат БИФ Стар,True,Раннеспелый,95-100,Индетерминантный,160-180 см,Более 250 г
404,Томат Пурпурный русский,False,Среднеспелый,110-115,Индетерминантный,180-220 см,От 50 до 100 г
405,Томат Перцевидный,False,Среднеспелый,110-115,Индетерминантный,160-200 см,От 150 до 250 г
406,Томат Балконный,False,Ультраскороспелый,85-90,Детерминантный,45-60 см,
407,Томат Утренняя роса,False,Раннеспелый,60-65,Индетерминантный,,Более 250 г
408,Томат Мармелад оранжевый,False,Раннеспелый,100-110,Детерминантный,90-100 см,От 150 до 250 г
409,Томат Розовая торпеда,False,Раннеспелый,105-108,Индетерминантный,200 см,От 100 до 150 г
410,Томат Городской пижон,True,Среднеспелый,109-115,Индетерминантный,200 см,От 100 до 150 г
411,Томат Де барао,False,Позднеспелый,120-125,Индетерминантный,200 см,От 50 до 100 г
412,Томат Сладкий щербет,False,Среднеспелый,110,Индетерминантный,До 200 см,От 25 до 50 г
413,Томат Японский трюфель розовый,False,Раннеспелый,110-115,Индетерминантный,Более 200 см,От 100 до 150 г
414,Томат Аришка,True,Раннеспелый,90-95,Индетерминантный,До 200 см,От 100 до 150 г
415,Томат Супермарманде,False,Раннеспелый,95-100,Полудетерминантный,140-160 см,От 150 до 250 г
416,Томат Смородинка красная,False,Раннеспелый,100-110,Индетерминантный,200 см,
417,Томат Башкирский ранний,False,Раннеспелый,105-110,Индетерминантный,Свыше 200 см,Более 250 г
418,Томат Бабушка Тася,False,,95-105,Детерминантный,60-70 см,От 100 до 150 г
419,Томат Сердце Баварии,False,Среднеспелый,105-110,Детерминантный,До 80 см,От 150 до 250 г
420,Томат Суперболл,False,Раннеспелый,105-112,Индетерминантный,Более 200 см,От 100 до 150 г
421,Томат Вишневая королева,True,Ультраскороспелый,85-87,Детерминантный,90-100 см,От 25 до 50 г
422,Томат Заюшка-хозяюшка,False,Среднеспелый,110-115,Детерминантный,50-80 см,От 50 до 100 г
423,Томат Большая надежда,True,Раннеспелый,100-105,Индетерминантный,180-200 см,Более 250 г
424,Томат Свит бэби,False,Раннеспелый,95-100,Индетерминантный,180-200 см,
425,Томат Сахарная семейка,True,Раннеспелый,75-80,Индетерминантный,180-200 см,От 25 до 50 г
426,Томат Золотая пора,False,Раннеспелый,100-105,Детерминантный,55-70 см,От 25 до 50 г
427,Томат Душечка,True,Раннеспелый,90-95,Детерминантный,70-80 см,От 50 до 100 г
428,Томат Супермакс,True,Раннеспелый,100-105,Детерминантный,100-130 см,От 150 до 250 г
429,Томат Портофино,False,Среднеспелый,110-115,Индетерминантный,160-180 см,От 150 до 250 г
430,Томат Сенечка,False,Раннеспелый,95,Детерминантный,120-130 см,
431,Томат Самохвал,False,Раннеспелый,95-100,Детерминантный,45-100 см,От 50 до 100 г
432,Томат Чико 3,False,Среднеспелый,100-110,Детерминантный,50-60 см,От 50 до 100 г
433,Томат Тристар,True,Раннеспелый,105-110,Индетерминантный,150-180 см,От 100 до 150 г
434,Томат Альбина,False,Среднеспелый,110-115,Индетерминантный,180-200 см,От 150 до 250 г
435,Томат Янтарные сережки,False,Раннеспелый,110-113,Индетерминантный,Более 200 см,
436,Томат Юбилейный эксклюзив,False,Раннеспелый,95-105,Индетерминантный,180-200 см,От 100 до 150 г
437,Томат Красна девица,False,Ультраскороспелый,75-85,Детерминантный,120-130 см,
438,Томат Спелая вишня,False,Раннеспелый,95-100,Индетерминантный,Более 200 см,
439,Томат Золотой дебют,False,Раннеспелый,100-105,Индетерминантный,180-200 см,
440,Томат Дружная семейка,True,Раннеспелый,90-95,Индетерминантный,Более 200 см,От 25 до 50 г
441,Томат Пышка,True,Ультраскороспелый,85-90,Детерминантный,65-70 см,От 100 до 150 г
442,Томат Большой сахар,False,Раннеспелый,95-105,Индетерминантный,170-200 см,Более 250 г
443,Томат Черри-капли,False,Среднеспелый,112-115,Индетерминантный,,
444,Томат Дикий гусь,False,Раннеспелый,105-110,Детерминантный,50-100 см,От 100 до 150 г
445,Томат Черный крым,False,Среднеспелый,112-115,Индетерминантный,180-220 см,От 150 до 250 г
446,Томат Ликопинчик,True,Ультраскороспелый,85-90,Детерминантный,60-70 см,От 100 до 150 г
447,Томат Гусеничка,True,Ультраскороспелый,90-95,Индетерминантный,Более 20 см,От 25 до 50 г
448,Томат Черная жемчужина,True,Раннеспелый,95-100,Индетерминантный,Более 200 см,От 25 до 50 г
449,Томат Черничка,False,Раннеспелый,110-115,Супердетерминантный,30-45 см,
450,Томат Красная шапочка,False,Раннеспелый,85-90,Супердетерминантный,20-25,
451,Томат Конфетки на ветке,True,Раннеспелый,90-95,Индетерминантный,180-200 см,От 25 до 50 г
452,Томат Байкал,True,Среднеспелый,107-112,Индетерминантный,220-250 см,От 150 до 250 г
453,Томат Благодар,True,Раннеспелый,102-107,Индетерминантный,До 200 см,От 150 до 250 г
454,Томат Маленький принц,False,Раннеспелый,100-107,Детерминантный,140-160 см,
455,Томат Амурские волны,False,Раннеспелый,105-110,Детерминантный,120-140 см,От 100 до 150 г
456,Томат Сумасшедшие вишни Барри,False,Среднеспелый,,Индетерминантный,200 см,
457,Томат Хамелеон,False,Среднеспелый,110-120,Детерминантный,100-150 см,От 100 до 150 г
458,Томат Черная красавица,False,Среднеспелый,110-113,Индетерминантный,170-200 см,Более 250 г
459,Томат Райские свечи,False,Раннеспелый,105-110,Детерминантный,130-150 см,
460,Томат Вороний глаз,False,Среднеспелый,105-115,Супердетерминантный,30-35 см,
461,Томат Римские каникулы,False,Раннеспелый,105-115,Детерминантный,120-130 см,От 100 до 150 г
462,Томат Блэк бьюти,False,,112-115,Индетерминантный,До 200 см,От 150 до 250 г
463,Томат Ласковый Миша,True,Раннеспелый,93-95,Детерминантный,65-75 см,От 100 до 150 г
464,Томат Вкусная забава,False,Раннеспелый,107-110,Детерминантный,До 100 см,От 100 до 150 г
465,Томат Лотарингская красавица желтая,False,Среднеспелый,120-125,Индетерминантный,180-200 см,От 150 до 250 г
466,Томат Добрыня,True,Раннеспелый,95-105,Полудетерминантный,150 см,От 150 до 250 г
467,Томат Буратино оранжевый,False,Раннеспелый,105-110,Индетерминантный,200-220 см,От 100 до 150 г
468,Томат Любушка,True,Среднеспелый,111-115,Индетерминантный,180-200 см,От 100 до 150 г
469,Томат Лель,False,Среднеспелый,107-112,Детерминантный,55-65см,От 50 до 100 г
470,Томат Алая гроздь,True,Раннеспелый,100-110,Детерминантный,около 30 см,От 25 до 50 г
471,Томат Черри сердцевидный,False,Раннеспелый,105-110,Индетерминантный,более 180 см,От 25 до 50 г
472,Томат Черри-13,True,Раннеспелый,103-108,Индетерминантный,,
473,Томат Апельсин,False,Раннеспелый,105-110,Индетерминантный,170-190 см,От 150 до 250 г
474,Томат Дикая роза,False,Раннеспелый,105-110,Индетерминантный,200 см,От 150 до 250 г
475,Томат Балконное чудо,False,Раннеспелый,90-100,Детерминантный,20-30 см,
476,Томат Вкус на укус,False,Раннеспелый,107-112,Индетерминантный,190-230 см,
477,Томат Диковинка,False,Раннеспелый,100-105,Индетерминантный,,
478,Томат Подарок феи,False,Ультраскороспелый,95-100,Детерминантный,60-70 см,От 100 до 150 г
479,Томат Винный кувшин,False,Раннеспелый,105-110,Индетерминантный,150-200 см,От 50 до 100 г
480,Томат Девичьи сердечки,False,Среднеспелый,111-115,Индетерминантный,,От 150 до 250 г
481,Томат Перцевидный розовый,False,Раннеспелый,105-110,Индетерминантный,,От 50 до 100 г
482,Томат Дикий Фред,False,Среднеспелый,110-115,Детерминантный,90-110 см,От 150 до 250 г
483,Томат 100%,True,Ультраскороспелый,90-95,Детерминантный,110-130 см,От 150 до 250 г
484,Томат Смородинка,False,Раннеспелый,,Индетерминантный,До 150 см,
485,Томат Русская коса оранжевая,True,Ультраскороспелый,95-105,Индетерминантный,180-200 см,
486,Томат Ирина,True,Раннеспелый,45-55,Детерминантный,100-120 см,От 100 до 150 г
487,Томат 33 богатыря,False,Среднеспелый,110-115,Полудетерминантный,140-160 см,От 150 до 250 г
488,Томат Мадам Кураж,True,Раннеспелый,–60-65,Индетерминантный,100-150 см,
489,Томат Надежда,True,Раннеспелый,95-100,Детерминантный,100-120 см,От 150 до 250 г
490,Томат Папино угощение,True,Среднеспелый,60-65,Индетерминантный,150-200 см,От 150 до 250 г
491,Томат Рубиновый кулон,True,Среднеспелый,110-115,Индетерминантный,До 200 см,От 50 до 100 г
492,Томат Сладкий миллион,False,Раннеспелый,95-100,Индетерминантный,180-200 см,
493,Томат Черный принц,False,Среднеспелый,60-65,Индетерминантный,До 200 см,Более 250 г
494,Томат Медовый гигант,False,Среднеспелый,110-115,Индетерминантный,,Более 250 г
495,Томат Чарующий каскад,False,Ультраскороспелый,80-85,Супердетерминантный,,
496,Томат Тамбовский волк,True,Среднеспелый,105-110,Индетерминантный,,От 150 до 250 г
497,Томат Золотое сердце,False,Ультраскороспелый,60-65,Детерминантный,60 см,От 100 до 150 г
498,Томат Медок,True,Раннеспелый,106-111,Детерминантный,120-150 см,От 25 до 50 г
499,Томат Баламут,True,Ультраскороспелый,95-105,Детерминантный,120-150 см,От 100 до 150 г
