,Название,Срок созревания
1,Морковь Деревенская,Среднеспелый
2,Морковь Шантино,Среднеспелый
3,Морковь Миникор,Среднеспелый
4,Морковь Зимняя королева,Среднеспелый
5,Морковь Парижская каротель,Раннеспелый
6,Морковь Красная красавица,Среднеспелый
7,Морковь Атлет,Позднеспелый
8,Морковь Атлант,Среднеспелый
9,Морковь Солнечная,Среднеспелый
10,Морковь Тушон,Среднеспелый
11,Морковь Берликум роял,Позднеспелый
12,Морковь Катрин,Среднеспелый
13,Морковь Оранжевый карандаш,Позднеспелый
14,Морковь Проминанс,Среднеспелый
15,Морковь Для плова,Раннеспелый
16,Морковь Пятерка,Позднеспелый
17,Морковь Негритянка,Среднеспелый
18,Морковь Каскад,Раннеспелый
19,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
21,Морковь Шантенэ Роял драже,Среднеспелый
22,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
23,Морковь Шантенэ 2461 драже,Среднеспелый
24,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
25,Морковь Супер Мускат драже,Среднеспелый
26,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
27,Морковь Деревенская,Среднеспелый
28,Морковь Шантино,Среднеспелый
29,Морковь Миникор,Среднеспелый
30,Морковь Зимняя королева,Среднеспелый
31,Морковь Парижская каротель,Раннеспелый
32,Морковь Красная красавица,Среднеспелый
33,Морковь Атлет,Позднеспелый
34,Морковь Атлант,Среднеспелый
35,Морковь Солнечная,Среднеспелый
36,Морковь Тушон,Среднеспелый
37,Морковь Берликум роял,Позднеспелый
38,Морковь Катрин,Среднеспелый
39,Морковь Оранжевый карандаш,Позднеспелый
40,Морковь Проминанс,Среднеспелый
41,Морковь Для плова,Раннеспелый
42,Морковь Пятерка,Позднеспелый
43,Морковь Негритянка,Среднеспелый
44,Морковь Каскад,Раннеспелый
45,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
46,Морковь Шантенэ Роял драже,Среднеспелый
47,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
48,Морковь Шантенэ 2461 драже,Среднеспелый
49,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
50,Морковь Супер Мускат драже,Среднеспелый
51,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
52,Морковь Деревенская,Среднеспелый
53,Морковь Шантино,Среднеспелый
54,Морковь Миникор,Среднеспелый
55,Морковь Зимняя королева,Среднеспелый
56,Морковь Парижская каротель,Раннеспелый
57,Морковь Красная красавица,Среднеспелый
58,Морковь Атлет,Позднеспелый
59,Морковь Атлант,Среднеспелый
60,Морковь Солнечная,Среднеспелый
61,Морковь Тушон,Среднеспелый
62,Морковь Берликум роял,Позднеспелый
63,Морковь Катрин,Среднеспелый
64,Морковь Оранжевый карандаш,Позднеспелый
65,Морковь Проминанс,Среднеспелый
66,Морковь Для плова,Раннеспелый
67,Морковь Пятерка,Позднеспелый
68,Морковь Негритянка,Среднеспелый
69,Морковь Каскад,Раннеспелый
70,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
71,Морковь Шантенэ Роял драже,Среднеспелый
72,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
73,Морковь Шантенэ 2461 драже,Среднеспелый
74,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
75,Морковь Супер Мускат драже,Среднеспелый
76,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
77,Морковь Деревенская,Среднеспелый
78,Морковь Шантино,Среднеспелый
79,Морковь Миникор,Среднеспелый
80,Морковь Зимняя королева,Среднеспелый
81,Морковь Парижская каротель,Раннеспелый
82,Морковь Красная красавица,Среднеспелый
83,Морковь Атлет,Позднеспелый
84,Морковь Атлант,Среднеспелый
85,Морковь Солнечная,Среднеспелый
86,Морковь Тушон,Среднеспелый
87,Морковь Берликум роял,Позднеспелый
88,Морковь Катрин,Среднеспелый
89,Морковь Оранжевый карандаш,Позднеспелый
90,Морковь Проминанс,Среднеспелый
91,Морковь Для плова,Раннеспелый
92,Морковь Пятерка,Позднеспелый
93,Морковь Негритянка,Среднеспелый
94,Морковь Каскад,Раннеспелый
95,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
96,Морковь Шантенэ Роял драже,Среднеспелый
97,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
98,Морковь Шантенэ 2461 драже,Среднеспелый
99,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
100,Морковь Супер Мускат драже,Среднеспелый
101,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
102,Морковь Деревенская,Среднеспелый
103,Морковь Шантино,Среднеспелый
104,Морковь Миникор,Среднеспелый
105,Морковь Зимняя королева,Среднеспелый
106,Морковь Парижская каротель,Раннеспелый
107,Морковь Красная красавица,Среднеспелый
108,Морковь Атлет,Позднеспелый
109,Морковь Атлант,Среднеспелый
110,Морковь Солнечная,Среднеспелый
111,Морковь Тушон,Среднеспелый
112,Морковь Берликум роял,Позднеспелый
113,Морковь Катрин,Среднеспелый
114,Морковь Оранжевый карандаш,Позднеспелый
115,Морковь Проминанс,Среднеспелый
116,Морковь Для плова,Раннеспелый
117,Морковь Пятерка,Позднеспелый
118,Морковь Негритянка,Среднеспелый
119,Морковь Каскад,Раннеспелый
120,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
121,Морковь Шантенэ Роял драже,Среднеспелый
122,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
123,Морковь Шантенэ 2461 драже,Среднеспелый
124,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
125,Морковь Супер Мускат драже,Среднеспелый
126,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
127,Морковь Деревенская,Среднеспелый
128,Морковь Шантино,Среднеспелый
129,Морковь Миникор,Среднеспелый
130,Морковь Зимняя королева,Среднеспелый
131,Морковь Парижская каротель,Раннеспелый
132,Морковь Красная красавица,Среднеспелый
133,Морковь Атлет,Позднеспелый
134,Морковь Атлант,Среднеспелый
135,Морковь Солнечная,Среднеспелый
136,Морковь Тушон,Среднеспелый
137,Морковь Берликум роял,Позднеспелый
138,Морковь Катрин,Среднеспелый
139,Морковь Оранжевый карандаш,Позднеспелый
140,Морковь Проминанс,Среднеспелый
141,Морковь Для плова,Раннеспелый
142,Морковь Пятерка,Позднеспелый
143,Морковь Негритянка,Среднеспелый
144,Морковь Каскад,Раннеспелый
145,Морковь Барыня Сеялка ПЛЮС,Раннеспелый
146,Морковь Шантенэ Роял драже,Среднеспелый
147,Морковь Шантенэ 2461 Сеялка ПЛЮС,Среднеспелый
148,Морковь Шантенэ 2461 драже,Среднеспелый
149,Морковь Супер Мускат Сеялка ПЛЮС,Среднеспелый
150,Морковь Супер Мускат драже,Среднеспелый
151,Морковь Сластена Сеялка ПЛЮС,Среднеспелый
152,Морковь Сластена драже,Среднеспелый
