,Название,Вид свеклы,Форма свеклы,Срок созревания
1,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
2,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
3,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
4,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
5,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
6,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
7,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
8,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
9,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
10,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
11,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
12,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
13,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
14,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
15,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
16,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
17,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
18,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
19,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
20,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
21,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
22,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
23,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
24,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
25,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
26,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
27,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
28,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
29,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
30,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
31,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
32,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
33,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
34,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
35,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
36,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
37,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
38,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
39,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
40,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
41,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
42,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
43,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
44,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
45,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
46,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
47,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
48,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
49,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
50,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
51,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
52,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
53,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
54,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
55,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
56,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
57,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
58,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
59,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
60,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
61,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
62,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
63,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
64,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
65,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
66,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
67,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
68,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
69,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
70,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
71,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
72,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
73,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
74,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
75,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
76,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
77,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
78,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
79,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
80,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
81,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
82,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
83,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
84,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
85,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
86,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
87,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
88,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
89,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
90,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
91,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
92,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
93,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
94,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
95,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
96,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
97,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
98,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
99,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
100,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
101,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
102,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
103,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
104,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
105,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
106,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
107,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
108,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
109,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
110,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
111,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
112,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
113,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
114,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
115,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
116,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
117,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
118,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
119,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
120,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
121,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
122,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
123,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
124,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
125,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
126,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
127,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
128,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
129,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
130,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
131,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
132,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
133,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
134,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
135,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
136,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
137,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
138,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
139,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
140,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
141,Свекла кормовая Эккендорфская моно,Кормовая,Цилиндрическая,Среднеспелый
142,Свекла кормовая Кормилица,Кормовая,Цилиндрическая,Позднеспелый
143,Свекла столовая Пестрая грядка,Столовая,Круглая,Раннеспелый
144,Свекла столовая Командор,Столовая,Цилиндрическая,Среднеспелый
145,Свекла столовая Капитан,Столовая,Круглая,Среднеспелый
146,Свекла столовая Грибовская плоская А,Столовая,Плоско-округлая,Раннеспелый
147,Мангольд Лукуллус,Мангольд,Листовая,Среднеспелый
148,Свекла столовая Моника,Столовая,Круглая,Среднеспелый
149,Мангольд Барезе,Мангольд,Листовая,Среднеспелый
150,Свекла столовая Ред Клауд,Столовая,Круглая,Среднеспелый
151,Свекла столовая Ронда,Столовая,Круглая,Среднеспелый
152,Свекла столовая Алексис,Столовая,Цилиндрическая,Среднеспелый
153,Свекла столовая Джульетта,Столовая,Круглая,Среднеспелый
154,Свекла столовая Джулия,Столовая,Круглая,Среднеспелый
155,Свекла столовая Звезда Аделаиды,Столовая,Круглая,Среднеспелый
156,Свекла столовая Бона,Столовая,Круглая,Среднеспелый
157,Свекла столовая Брюнетка,Столовая,Круглая,Раннеспелый
158,Свекла столовая Золотой глобус,Столовая,Круглая,Раннеспелый
159,Свекла столовая Водан,Столовая,Круглая,Ультраскороспелый
160,Свекла столовая Боро,Столовая,Круглая,Среднеспелый
161,Свекла столовая Нобол,Столовая,Круглая,Раннеспелый
162,Свекла столовая Щец-борщец,Столовая,Круглая,Среднеспелый
163,Свекла столовая Шоколадница,Столовая,Круглая,Среднеспелый
164,Свекла столовая Чудо земли,Столовая,Цилиндрическая,Среднеспелый
165,Свекла столовая Цыганочка,Столовая,Круглая,Среднеспелый
166,Свекла столовая Цилиндра одноростковая,Столовая,Цилиндрическая,Раннеспелый
167,Свекла столовая Цилиндра,Столовая,Цилиндрическая,Среднеспелый
168,Свекла столовая Холодостойкая 19,Столовая,Круглая,Раннеспелый
169,Свекла столовая Фекла,Столовая,Круглая,Среднеспелый
